user_id,data,tipo,categoria,valor
1,2026-03-11,receita,salario,8770
1,2026-03-12,despesa,alimentacao,1297
1,2026-03-04,despesa,alimentacao,384
1,2026-02-06,receita,salario,8770
1,2026-03-09,receita,salario,8770
1,2026-03-09,despesa,lazer,1090
1,2026-01-12,receita,salario,8770
1,2026-01-10,despesa,transporte,71
1,2026-03-31,receita,salario,8770
1,2026-03-23,despesa,transporte,753
1,2026-02-16,despesa,transporte,1749
1,2026-02-21,despesa,alimentacao,1080
1,2026-01-29,receita,salario,8770
1,2026-01-06,despesa,moradia,996
1,2026-03-16,despesa,alimentacao,1611
1,2026-02-15,despesa,moradia,565
1,2026-03-22,receita,salario,8770
1,2026-02-08,despesa,educacao,846
1,2026-01-29,receita,salario,8770
1,2026-02-01,receita,salario,8770
2,2026-03-19,receita,salario,5926
2,2026-03-16,receita,salario,5926
2,2026-03-22,despesa,alimentacao,1513
2,2026-01-21,despesa,alimentacao,918
2,2026-02-28,despesa,alimentacao,1732
2,2026-02-26,despesa,transporte,1580
2,2026-01-01,despesa,transporte,983
2,2026-01-15,despesa,moradia,1236
2,2026-03-05,despesa,moradia,841
2,2026-01-12,despesa,alimentacao,541
2,2026-03-21,despesa,moradia,1133
2,2026-02-15,receita,salario,5926
2,2026-02-22,receita,salario,5926
2,2026-01-27,despesa,transporte,248
2,2026-01-03,despesa,moradia,742
2,2026-01-24,despesa,educacao,948
2,2026-01-20,despesa,transporte,1226
2,2026-03-19,despesa,educacao,1967
2,2026-03-25,despesa,moradia,1751
2,2026-02-17,despesa,lazer,1904
3,2026-03-27,despesa,alimentacao,166
3,2026-01-02,despesa,transporte,444
3,2026-03-05,despesa,educacao,121
3,2026-01-21,receita,salario,8449
3,2026-03-05,despesa,lazer,1568
3,2026-02-07,receita,salario,8449
3,2026-02-14,despesa,lazer,151
3,2026-02-10,receita,salario,8449
3,2026-03-27,despesa,transporte,1626
3,2026-01-17,receita,salario,8449
3,2026-02-15,receita,salario,8449
3,2026-03-21,despesa,transporte,141
3,2026-01-20,despesa,lazer,985
3,2026-02-01,despesa,alimentacao,1938
3,2026-01-02,despesa,alimentacao,1818
3,2026-03-18,receita,salario,8449
3,2026-03-18,receita,salario,8449
3,2026-01-22,despesa,educacao,1239
3,2026-03-31,despesa,alimentacao,192
3,2026-02-13,receita,salario,8449
4,2026-03-16,receita,salario,10166
4,2026-01-06,despesa,lazer,1146
4,2026-02-01,receita,salario,10166
4,2026-03-17,despesa,lazer,1763
4,2026-03-03,despesa,moradia,160
4,2026-01-07,despesa,lazer,257
4,2026-01-04,despesa,alimentacao,71
4,2026-01-26,despesa,educacao,1200
4,2026-02-10,receita,salario,10166
4,2026-01-14,receita,salario,10166
4,2026-01-12,receita,salario,10166
4,2026-01-13,despesa,moradia,1316
4,2026-01-19,despesa,alimentacao,1429
4,2026-02-14,receita,salario,10166
4,2026-02-22,despesa,educacao,356
4,2026-02-13,despesa,alimentacao,963
4,2026-03-24,receita,salario,10166
4,2026-02-25,despesa,moradia,1716
4,2026-01-28,receita,salario,10166
4,2026-02-04,receita,salario,10166
5,2026-02-23,receita,salario,5056
5,2026-01-07,despesa,lazer,911
5,2026-03-26,despesa,moradia,1006
5,2026-01-24,despesa,lazer,565
5,2026-01-20,despesa,moradia,1635
5,2026-02-18,despesa,transporte,1690
5,2026-02-05,receita,salario,5056
5,2026-03-07,despesa,alimentacao,981
5,2026-01-06,despesa,alimentacao,804
5,2026-02-27,despesa,transporte,1341
5,2026-01-03,despesa,lazer,1625
5,2026-01-21,despesa,alimentacao,916
5,2026-01-26,despesa,transporte,801
5,2026-03-28,despesa,alimentacao,575
5,2026-03-19,despesa,educacao,342
5,2026-03-10,receita,salario,5056
5,2026-02-10,receita,salario,5056
5,2026-03-01,despesa,lazer,63
5,2026-03-30,despesa,educacao,1816
5,2026-03-11,despesa,lazer,1930
6,2026-01-28,receita,salario,9933
6,2026-01-05,despesa,transporte,1497
6,2026-03-17,receita,salario,9933
6,2026-02-14,receita,salario,9933
6,2026-01-31,receita,salario,9933
6,2026-03-08,despesa,lazer,641
6,2026-03-15,despesa,lazer,893
6,2026-01-01,despesa,transporte,1849
6,2026-02-12,despesa,lazer,362
6,2026-03-05,despesa,alimentacao,1357
6,2026-02-06,despesa,moradia,1277
6,2026-02-06,despesa,transporte,1705
6,2026-02-13,despesa,moradia,1440
6,2026-03-20,despesa,transporte,1324
6,2026-03-02,receita,salario,9933
6,2026-03-19,receita,salario,9933
6,2026-02-06,despesa,transporte,846
6,2026-01-01,receita,salario,9933
6,2026-03-11,receita,salario,9933
6,2026-02-28,despesa,educacao,1058
7,2026-02-20,receita,salario,12248
7,2026-01-20,despesa,educacao,1289
7,2026-02-12,receita,salario,12248
7,2026-03-30,despesa,lazer,1258
7,2026-02-08,despesa,moradia,544
7,2026-02-12,despesa,transporte,1501
7,2026-02-07,receita,salario,12248
7,2026-02-14,receita,salario,12248
7,2026-02-19,receita,salario,12248
7,2026-01-08,despesa,lazer,178
7,2026-01-08,receita,salario,12248
7,2026-01-05,despesa,alimentacao,1248
7,2026-02-03,despesa,transporte,1192
7,2026-03-31,despesa,alimentacao,1487
7,2026-03-23,despesa,lazer,1721
7,2026-02-16,despesa,educacao,637
7,2026-03-13,despesa,lazer,850
7,2026-01-01,receita,salario,12248
7,2026-03-21,despesa,alimentacao,1377
7,2026-03-10,despesa,transporte,1293
8,2026-03-07,despesa,moradia,624
8,2026-03-14,despesa,lazer,1162
8,2026-02-17,despesa,transporte,1830
8,2026-03-18,receita,salario,4573
8,2026-03-16,despesa,educacao,1454
8,2026-01-04,despesa,educacao,1527
8,2026-03-23,despesa,educacao,1352
8,2026-03-24,despesa,transporte,1714
8,2026-03-29,receita,salario,4573
8,2026-03-12,receita,salario,4573
8,2026-01-15,despesa,lazer,760
8,2026-01-15,despesa,transporte,877
8,2026-03-30,despesa,transporte,785
8,2026-02-04,receita,salario,4573
8,2026-03-31,despesa,moradia,1017
8,2026-03-19,despesa,moradia,991
8,2026-01-09,despesa,lazer,1867
8,2026-03-13,despesa,moradia,503
8,2026-01-28,receita,salario,4573
8,2026-01-26,receita,salario,4573
9,2026-01-05,despesa,educacao,1366
9,2026-03-20,despesa,moradia,832
9,2026-02-12,despesa,educacao,1399
9,2026-02-15,despesa,lazer,940
9,2026-02-12,receita,salario,8373
9,2026-01-23,despesa,transporte,385
9,2026-02-16,receita,salario,8373
9,2026-01-15,receita,salario,8373
9,2026-03-16,despesa,transporte,373
9,2026-01-21,despesa,moradia,836
9,2026-02-03,receita,salario,8373
9,2026-03-09,receita,salario,8373
9,2026-02-21,despesa,educacao,1742
9,2026-01-28,despesa,alimentacao,1217
9,2026-02-05,despesa,alimentacao,51
9,2026-02-18,despesa,alimentacao,139
9,2026-03-30,despesa,transporte,1336
9,2026-03-15,despesa,transporte,208
9,2026-03-12,receita,salario,8373
9,2026-02-11,receita,salario,8373
10,2026-02-25,despesa,educacao,1525
10,2026-01-07,despesa,moradia,1245
10,2026-02-14,despesa,alimentacao,940
10,2026-01-13,despesa,educacao,1191
10,2026-01-21,despesa,educacao,1978
10,2026-01-26,receita,salario,9129
10,2026-01-10,receita,salario,9129
10,2026-02-11,despesa,moradia,769
10,2026-02-18,receita,salario,9129
10,2026-02-06,despesa,educacao,713
10,2026-01-19,despesa,moradia,1240
10,2026-03-15,despesa,lazer,964
10,2026-02-05,receita,salario,9129
10,2026-02-24,despesa,moradia,736
10,2026-02-18,despesa,alimentacao,1299
10,2026-02-02,receita,salario,9129
10,2026-03-22,receita,salario,9129
10,2026-02-06,despesa,alimentacao,1037
10,2026-03-12,despesa,moradia,699
10,2026-03-14,despesa,lazer,558
11,2026-02-26,despesa,lazer,819
11,2026-03-05,receita,salario,2378
11,2026-03-26,despesa,alimentacao,1627
11,2026-02-08,despesa,lazer,508
11,2026-01-24,receita,salario,2378
11,2026-01-19,despesa,educacao,1175
11,2026-02-11,despesa,transporte,670
11,2026-02-05,receita,salario,2378
11,2026-02-05,receita,salario,2378
11,2026-01-08,despesa,educacao,1143
11,2026-02-10,despesa,alimentacao,1854
11,2026-02-18,despesa,lazer,1005
11,2026-01-05,receita,salario,2378
11,2026-02-01,despesa,moradia,1303
11,2026-03-13,despesa,transporte,1063
11,2026-02-13,despesa,moradia,1332
11,2026-03-27,despesa,alimentacao,776
11,2026-02-13,despesa,lazer,1282
11,2026-02-04,despesa,moradia,1871
11,2026-01-08,despesa,moradia,1515
12,2026-02-05,despesa,transporte,1550
12,2026-01-31,despesa,transporte,360
12,2026-03-21,despesa,lazer,719
12,2026-02-24,despesa,transporte,706
12,2026-01-16,despesa,moradia,1029
12,2026-01-03,despesa,moradia,286
12,2026-01-23,despesa,alimentacao,1177
12,2026-01-05,despesa,moradia,1321
12,2026-03-06,despesa,lazer,198
12,2026-03-25,despesa,educacao,1027
12,2026-03-13,despesa,alimentacao,1234
12,2026-01-16,despesa,alimentacao,1573
12,2026-01-14,receita,salario,3562
12,2026-01-23,receita,salario,3562
12,2026-03-07,despesa,lazer,819
12,2026-03-14,despesa,lazer,884
12,2026-02-21,receita,salario,3562
12,2026-01-26,despesa,transporte,360
12,2026-01-06,despesa,alimentacao,192
12,2026-03-27,despesa,transporte,293
13,2026-01-12,despesa,moradia,91
13,2026-02-07,despesa,alimentacao,1876
13,2026-01-30,despesa,alimentacao,1743
13,2026-03-19,despesa,educacao,1921
13,2026-01-07,despesa,alimentacao,122
13,2026-01-15,despesa,moradia,627
13,2026-01-02,receita,salario,11187
13,2026-03-19,despesa,transporte,1841
13,2026-01-10,despesa,transporte,842
13,2026-02-23,despesa,educacao,144
13,2026-01-14,receita,salario,11187
13,2026-03-21,despesa,moradia,430
13,2026-02-21,despesa,transporte,951
13,2026-01-25,despesa,lazer,531
13,2026-01-08,despesa,moradia,1013
13,2026-01-25,receita,salario,11187
13,2026-02-14,despesa,moradia,1873
13,2026-01-13,despesa,educacao,1605
13,2026-01-18,receita,salario,11187
13,2026-03-04,despesa,transporte,1934
14,2026-02-12,despesa,moradia,1133
14,2026-01-23,receita,salario,5061
14,2026-01-05,despesa,transporte,827
14,2026-03-30,receita,salario,5061
14,2026-01-11,despesa,lazer,1129
14,2026-03-20,despesa,educacao,132
14,2026-01-09,receita,salario,5061
14,2026-03-14,despesa,lazer,1567
14,2026-01-07,despesa,educacao,813
14,2026-01-04,despesa,moradia,1625
14,2026-01-17,receita,salario,5061
14,2026-02-21,receita,salario,5061
14,2026-02-05,despesa,educacao,1304
14,2026-02-19,receita,salario,5061
14,2026-03-04,despesa,alimentacao,532
14,2026-01-07,despesa,transporte,1031
14,2026-01-14,receita,salario,5061
14,2026-03-27,despesa,transporte,1256
14,2026-01-02,receita,salario,5061
14,2026-01-21,receita,salario,5061
15,2026-03-20,despesa,alimentacao,1544
15,2026-02-27,receita,salario,4604
15,2026-01-05,receita,salario,4604
15,2026-03-26,despesa,lazer,542
15,2026-03-26,receita,salario,4604
15,2026-02-14,receita,salario,4604
15,2026-03-22,receita,salario,4604
15,2026-03-01,despesa,alimentacao,1990
15,2026-02-21,receita,salario,4604
15,2026-01-26,receita,salario,4604
15,2026-02-03,despesa,moradia,1837
15,2026-03-23,despesa,moradia,1818
15,2026-02-21,despesa,transporte,603
15,2026-01-21,despesa,moradia,674
15,2026-03-05,despesa,transporte,442
15,2026-02-10,despesa,alimentacao,621
15,2026-02-17,receita,salario,4604
15,2026-01-10,despesa,alimentacao,281
15,2026-01-21,despesa,alimentacao,808
15,2026-02-03,despesa,transporte,775
16,2026-03-13,receita,salario,11262
16,2026-01-17,receita,salario,11262
16,2026-03-29,despesa,alimentacao,630
16,2026-02-01,despesa,alimentacao,136
16,2026-01-08,receita,salario,11262
16,2026-03-28,despesa,lazer,1694
16,2026-02-20,receita,salario,11262
16,2026-01-24,receita,salario,11262
16,2026-01-20,despesa,alimentacao,1899
16,2026-01-31,receita,salario,11262
16,2026-01-11,despesa,moradia,1284
16,2026-01-07,despesa,transporte,612
16,2026-02-27,receita,salario,11262
16,2026-01-08,receita,salario,11262
16,2026-02-07,receita,salario,11262
16,2026-03-22,receita,salario,11262
16,2026-01-25,despesa,lazer,512
16,2026-02-19,receita,salario,11262
16,2026-02-05,despesa,educacao,1663
16,2026-02-10,despesa,transporte,168
17,2026-03-03,despesa,moradia,1851
17,2026-01-21,receita,salario,10562
17,2026-01-02,despesa,transporte,1766
17,2026-02-01,despesa,moradia,1361
17,2026-02-01,despesa,moradia,572
17,2026-01-10,despesa,educacao,985
17,2026-01-18,receita,salario,10562
17,2026-01-25,despesa,transporte,895
17,2026-03-30,receita,salario,10562
17,2026-01-30,despesa,educacao,1245
17,2026-02-01,despesa,educacao,162
17,2026-01-21,receita,salario,10562
17,2026-02-01,despesa,transporte,88
17,2026-01-12,despesa,alimentacao,1603
17,2026-01-21,despesa,alimentacao,710
17,2026-01-08,despesa,educacao,287
17,2026-01-07,receita,salario,10562
17,2026-03-16,despesa,lazer,711
17,2026-03-30,despesa,educacao,1870
17,2026-01-13,receita,salario,10562
18,2026-01-29,despesa,educacao,485
18,2026-01-27,despesa,educacao,1536
18,2026-01-23,despesa,alimentacao,510
18,2026-01-22,despesa,alimentacao,1774
18,2026-02-25,despesa,alimentacao,1703
18,2026-01-19,receita,salario,4290
18,2026-01-30,despesa,educacao,1440
18,2026-01-25,despesa,lazer,1184
18,2026-01-08,despesa,alimentacao,1729
18,2026-03-13,receita,salario,4290
18,2026-01-05,despesa,transporte,1973
18,2026-03-05,despesa,transporte,1564
18,2026-03-30,despesa,transporte,1969
18,2026-02-15,despesa,moradia,972
18,2026-03-07,despesa,educacao,1086
18,2026-01-09,despesa,transporte,647
18,2026-03-31,despesa,educacao,1085
18,2026-03-22,receita,salario,4290
18,2026-02-03,despesa,transporte,1093
18,2026-03-16,despesa,lazer,1808
19,2026-03-11,despesa,educacao,1174
19,2026-02-27,despesa,transporte,1454
19,2026-01-04,despesa,alimentacao,585
19,2026-01-26,despesa,educacao,1542
19,2026-02-23,despesa,moradia,454
19,2026-03-15,despesa,alimentacao,1845
19,2026-03-01,despesa,alimentacao,1093
19,2026-01-17,despesa,moradia,565
19,2026-01-14,despesa,alimentacao,1814
19,2026-03-21,receita,salario,8392
